restaurant_overall_rating,user_rating,user_review,restaurant_num_reviews,restaurant_location,restaurant_name,user_name,user_location,restaurant_phone,restaurant_url
4.0,5.0,"Every time I visit my sisters in DC we ALWAYS come here for brunch. It's very hard to get reservations here in general, but I like to use the app ""OpenTable"" to make the reservations. It's so much easier to see what days/times they have available around your original search. Founding Farmers is located in Foggy Bottom, very close to George Washington's campus, making it very accessible to get there (walking distance from the metro). I highly recommend getting there early/on time because this place gets PACKED, especially for breakfast/brunch, and they will take your name off the list if you are more than 10-15 min late (I overheard one girl check-in for her reservation but since she was late they already filled her spot). Their waiting area is too small for how many people come in on the weekends, it gets very crowded near the entrance. They have an up-stairs and downstairs to be seated at; I've sat on both floors and personally like the top floor better because it's less crowded and noisy due to it being away from the entrance. Once you're seated, they have two menus. A menu specifically for breakfast/brunch and one for lunch/dinner options. You really can't go wrong with anything you order here, everything is so good (hence why they have 4 stars and over 6,500 reviews). My sisters have ordered the same thing every single time since they first came here a few years back because they love it that much. One orders the classic eggs benedict and the other orders the fresh strawberries and cream waffles. I have to admit their signature chicken pot pie really lives up to it's hype. I'm not one to have had many chicken pot pie's in my life before, but this was a game changer. It was SO CREAMY with big chunks of vegetables and chicken served with a biscuit on top. I have never tasted something so flavorful before, I don't know how they do it. We also ordered their cornbread (because I read yelp reviews highly recommending it) and I was very satisfied; the cornbread had chunks of real corn in it, still hot in the skillet - just the way I like it. I highly recommend anyone that visits the DC area makes reservations here to experience Founding Farmers, even if it's not for breakfast/brunch, it's that good.",6584,"Washington, DC",Founding Farmers,Alexis C.,"Jamaica, NY",2028228783,/biz/founding-farmers-washington
4.0,2.0,"Loved the food, but felt that some ethics were not there. Fortunately, we got a bar spot very quickly - the wait is about 45 minutes even at 1PM on a Friday. As for the venue, it's definitely nice and clean. I loved the floating clouds!As for the food, the fried chicken was 5/5. Just amazing! The platter with the burger, corn, and hot dog was also delicious. I probably wouldn't order it again though since it's just a mix of normal foods. The cornbread was also delicious - a must order with that honey butter.The reason I am not rating higher is because I feel cheated. I asked for a side of pickles and they said I could order pickled vegetables. I said I don't want that - just the pickles to put in the burger. She said okay I can get the kitchen to get some for you. She never asked if I wanted to pay for pickles (no restaurant has ever asked me to buy small sliced pickles). I have no objection to paying but she made it sound like it was no charge. At the end of the meal, I was charged $4 for a small slices of pickles. I think that they need to be upfront and confirm that getting a side of pickles is a fee. I'm open to attending again, but just be cautious!",6584,"Washington, DC",Founding Farmers,Albert K.,"San Francisco, CA",2028228783,/biz/founding-farmers-washington
4.0,5.0,Goat cheese Ravioli with Chicken is OUTSTANDING! The goat cheese is deliciously complex & subtle. The chicken seasoning is wonderful & cooked perfectly.The chicken & waffles was wonderful as well. Crispy full of flavor with huge meat portions & fried perfectly. The waffles were light & fluffy. The maple syrup was incredible! When they store it they put cinnamon sticks in. Complex tasting maple syrup? Who knew!!,6584,"Washington, DC",Founding Farmers,Derek B.,"Alexandria, VA",2028228783,/biz/founding-farmers-washington
4.0,4.0,"This place was recommended to me by a bunch of friends, so we had to check it out while in DC - it was definitely good but not sure it lives up to the hype. Definitely make reservations online beforehand, otherwise you might have to wait in line for a long time (we were able to make same-day reservations and got seated quickly). The decor inside was okay and it was kind of dark. Some of the tables were a little crowded together too. Service was great and we had a very attentive waiter. The prices here are actually very reasonable (most things are less than $12).For food, I got the breakfast chicken and waffles - I would give it a 4/5. I was a little disappointed when it arrived because I saw it had 3 very small pieces of chicken on the waffles (most pictures on here look like they have at least 4). Chicken was flavorful with good seasoning and not dry - tasted great with the gravy and sunny side up eggs! It's slightly salty on its own but if you combine it with the other stuff, it's just right. Waffle was light and crisp, and not too sweet, which I liked. My friend got the tomato florentine eggs benedict, which she liked but tasted just okay to me. One of the poached eggs was way overdone. We also got coffee for 2, which definitely could serve 3-4 people comfortably. The people next to us got stuffed French toast, which looked amazing - I'll have to try that next time! In short, solid hearty meal at a reasonable price. Would I be willing to wait an hour in line for it though? Probably not.",6584,"Washington, DC",Founding Farmers,Marie H.,"Columbus, OH",2028228783,/biz/founding-farmers-washington
4.0,4.0,I love the decor here!!! Great atmosphere. Start off with the cornbread! The salted butter and honey make it special. The chicken pot pie was delicious and was served pipping hot! (Had to wait a while for it to cool down).,6584,"Washington, DC",Founding Farmers,Anitha K.,"Dallas, TX",2028228783,/biz/founding-farmers-washington
4.0,4.0,"Bottom Line:  A cool place with great food but service is slow.I really like Founding Farmers and I think George Washington would approve too.  The farm to table menu, as cliche as it may be these days, is delicious.  While I don't think you can go wrong here with any menu selections I highly recommend the chicken and waffles.  Also fabulous here are the fresh cocktails, albeit small pours. The desserts looked amazing although I did not get a chance to sink my sweet tooth into one of them. The restaurant is comfy and atheistically pleasing which is good since there is a lot of waiting around that goes on here.  Waiting for a table 15 to 20 minutes despite reservations, waiting for a server to greet us, waiting 20 minutes for drinks to come out, etc. I'm a patient person but wasn't prepared for the slow pace but next time I will be. If you are planning to visit Founding Farmers before another obligation then allow plenty of time to enjoy all that is offered at this delightful Foggy Bottom restaurant.The advertised ""smart casual"" dress code is confusing here but what it basically means is you can wear anything.  On my first visit here we were touring the museums so we wore shorts and shirts with fab accessories like scarves and sheer komono-ish tops to dress up our street attire.  But, if I was going into DC just for dinner I would wear something more along the lines of business casual.Overall a nice experience and I look forward to going back soon.",6584,"Washington, DC",Founding Farmers,Courtney K.,"Annapolis, MD",2028228783,/biz/founding-farmers-washington
4.0,5.0,"Came here for brunch on a Saturday during Labor Day weekend and it was packed beyond belief. I had reservations for 10:15am, we checked in at 10am and we still had to wait 25 minutes to get a table. After I saw that a group that came in after us got seated before us, I asked them why we haven't gotten seated yet and it was because the guy didn't even check us in -_-. Good thing I checked in with them a second time otherwise we would have had to wait forever. But we got seated right afterwards anyways. Food here is so delicious! I literally wanted to try everything on their menu, but we couldn't order too much because we had a lot of tourist things to do and couldn't bring food inside those places. They don't have a big selection of food, but the portions they give you are pretty big and filling. Strawberry stuffed French toast: OMGGGG BEST FRENCH TOAST EVER! I've never had stuffed French toast and now I don't think I will ever go back to regular French toast. The outer layer was crispy, but very oily =| I suggest sharing this dish because eating three pieces of extremely oily and fried French toast doesn't sit well with the stomach. The filling is a vanilla cream and it was delicious. Must find other places in LA that have stuffed French toast. Scrambled eggs with sausage and hashbrowns: my boyfriend ate the sausage and he said it was yummy. Their hashbrowns are pretty good, but not the best I've had, their eggs, HANDS DOWN the best eggs I've had at a restaurant. I think because the eggs weren't dry at all, and it had a good texture to it. Hangover hash: poached egg over hashbrowns and meat. I ate the poached egg and it was cooked to perfection. I would definitely try their eggs benedict if I am ever back in town. I didn't try their meat, but my boyfriend said it was pretty good.",6584,"Washington, DC",Founding Farmers,Christina G.,"Arcadia, CA",2028228783,/biz/founding-farmers-washington
4.0,5.0,"CHICKEN & WAFFLES.Yes it's worth the wait.Yes it's worth the hassle of finding parking.Yes it's worth the hype!!!We traveled to the DC area from San Jose CA where I had never tried Chicken & Waffles in my life. I was skeptical but I said, if I was going to try this dish it might as well be served on the east coast.I was not disappointed at all!!! Best decision was to come here. You can't deny 6,000+ reviews!",6584,"Washington, DC",Founding Farmers,Desire' S.,"San Jose, CA",2028228783,/biz/founding-farmers-washington
4.0,5.0,"I found this place on Yelp and decided that we must come here on our visit to DC. Founding Farmers ended up being our first stop fresh off the plane. We made reservations for 4 at 1015 on Saturday, and we were so glad we did! We heard the hosts tell walk-ins it was a two hour(!) wait. We were seated about 5 minutes after we checked in and we were able to fit our luggage underneath the table and our chairs :) Every. Single. Item. that we ordered was phenomenal. We ordered beignets, chicken and waffles, bourbon batter French toast, strawberries and cream waffles, and bananas foster waffles. Oh, and a side of bacon. Did I mention that everything was amazing? My mouth is watering just thinking about it. The DH and my friend's BF both ordered Bloody Marys that were delicious and satisfying. I, of course, ordered sweet tea and was so excited to see that they served it there. My friend ordered a coffee soda(?) that she seemed to love. FF made it on our ""definitely a must visit every time we go to DC"" list. I would be willing to take a 2 hr flight up there every weekend just to eat there if I could. It's just that good.",6584,"Washington, DC",Founding Farmers,Carlyne M.,"Jacksonville, FL",2028228783,/biz/founding-farmers-washington
4.0,4.0,"Fresh tasting food. I enjoyed the experience here. The seafood deviled eggs were a little pricey, and probably not worth to get again, but I am glad I tried them (they are one of my favorite appetizer kinda foods). The fried green tomatoes were tasty. I am not a tomato fan, but I definitely ate my portion out of them - not too much breading, which is enjoyable. Farmhouse platter (baby cheeseburgers, chili dog, pork ribs, potato salad, corn) - Baby cheeseburgers were delicious! As was the chili dog. The pork ribs were fall off the bone practically. The potato salad I could have done without, and the corn was very well prepared, but it is just corn (in my opinion). RED VELVET CAKE = loveI need to come back for breakfast!",6584,"Washington, DC",Founding Farmers,Amanda W.,"Upper East Side, Manhattan, NY",2028228783,/biz/founding-farmers-washington
