restaurant_overall_rating,user_review_title,user_review,restaurant_name,user_num_reviews,user_helpful_reviews,user_review_date,user_location,restaurant_url,user_rating,restaurant_num_reviews,restaurant_location,user_name,restaurant_latitude,restaurant_longitude,user_latitude,user_longitude,user_restaurant_distance,user_is_local,user_review_length
4.0,Very Good Food & Attentive Service,"An excellent menu with lots of choices, efficient service, delicious food attractively prepared and presented, excellent value and an ambiance conducive to conversation sums up Woodward Table. Reservations at lunch are a must!",Woodward Table,202,104,"October 7, 2015","Jacksonville, Florida",/Restaurant_Review-g28970-d3661966-Reviews-Woodward_Table-Washington_DC_District_of_Columbia.html,4.0,248,"Washington, DC",rolftowe,38.8949549,-77.0366456,30.3321838,-81.655651,646.0287497473273,False,226.0
4.0,Amazing Trout and perfect service,"I stumbled upon this restaurant and wondered into a culinary delight. After asking my server for a recommendation, he suggested the trout, which was beyond my expectations. The atmosphere casual, elegant and welcoming. Prices are a bit high, but expected in D.C. at a finely rated restaurant. I would go again!!",Woodward Table,46,27,"October 5, 2015","Cleveland, Ohio",/Restaurant_Review-g28970-d3661966-Reviews-Woodward_Table-Washington_DC_District_of_Columbia.html,5.0,248,"Washington, DC",robin136,38.8949549,-77.0366456,41.5051613,-81.6934446,305.101045136472,False,311.0
4.0,Great Food,Food was great and the service even better. The chicken and waffles were amazing and the ambience too.,Woodward Table,4,0,"September 30, 2015","Miami, Florida",/Restaurant_Review-g28970-d3661966-Reviews-Woodward_Table-Washington_DC_District_of_Columbia.html,4.0,248,"Washington, DC",Valdes63,38.8949549,-77.0366456,25.7742658,-80.1936589,922.5964265864908,False,102.0
4.0,"Delicious Dining, Quiet Efficient Service","We were hungry after a long day of seeing the sights. Walking back to the hotel we reached a corner with several restaurants. My wife did a mental flip of the coin and we ended up at Woodward Table. What an excellent choice. The staff was very willing to let me change tables for a better view of the open...


More",Woodward Table,51,37,"September 9, 2015","Denver, Colorado",/Restaurant_Review-g28970-d3661966-Reviews-Woodward_Table-Washington_DC_District_of_Columbia.html,5.0,248,"Washington, DC",Jay G,38.8949549,-77.0366456,39.7391536,-104.9847034,1492.6834111486821,False,315.0
4.0,Ok. But not great,"Slightly disappointed when eating here True the jumbo crab cocktail was very nice but the restaurant had an atmosphere of a upmarket canteen and pricey at that.
Nice service from Pamela though",Woodward Table,160,65,"September 9, 2015","Chichester, United Kingdom",/Restaurant_Review-g28970-d3661966-Reviews-Woodward_Table-Washington_DC_District_of_Columbia.html,3.0,248,"Washington, DC",cpfc1984,38.8949549,-77.0366456,50.84467705,-0.783114332,3662.222491494229,False,192.0
4.0,Top notch,"The restaurant is conveniently located near several hotels and has some outdoor seating as well.
The bar at Woodward Table was almost SRO when we walked in but we were able to find a comfortable booth in which to have a cool drink and look at the dinner menu.
Our waiter: Oscar had a star personality; friendly,knowledgeable and attentive and...


More",Woodward Table,106,88,"September 4, 2015","Kaiserslautern, Germany",/Restaurant_Review-g28970-d3661966-Reviews-Woodward_Table-Washington_DC_District_of_Columbia.html,5.0,248,"Washington, DC",Prepcook,38.8949549,-77.0366456,49.4432174,7.7689951,4050.8075440776925,False,352.0
4.0,"Decent food and service, but....",Nothing spectacular. Pricing was very good for DC. The tuna was quite good and I really liked the rolls that they served before the meal. Slow to refill drinks and the ambiance was like eating in a basement. Great location. Ate there for lunch. There are probably 10 as good restaurants within fifty yards so choose wisely,Woodward Table,53,10,"September 3, 2015",,/Restaurant_Review-g28970-d3661966-Reviews-Woodward_Table-Washington_DC_District_of_Columbia.html,4.0,248,"Washington, DC",L.g. W,38.8949549,-77.0366456,,,,,322.0
4.0,Bottomless Mimosas and Other Goodies,"Have Brunch at Woodward Table for a real treat! I try to save time for this local favorite every time I am in DC. The bottomless Mimosas or Bloody Mary's are really bottomless! I always choose the Mimosas for it seems a good way to begin Brunch.
There are so many delicious items from which to select that making a...


More",Woodward Table,69,23,"September 2, 2015","Nashville, Tennessee",/Restaurant_Review-g28970-d3661966-Reviews-Woodward_Table-Washington_DC_District_of_Columbia.html,4.0,248,"Washington, DC",SandySRL,38.8949549,-77.0366456,36.1622296,-86.774353,566.7091028370305,False,324.0
4.0,DISAPPOINTING,"Disappointing because it is well located and well reviewed. The food was greasy and oversalted, the two sins of an unsupervised kitchen. Save your money. Go to Joe's which close and is far far superior",Woodward Table,31,10,"September 1, 2015","Washington DC, District of Columbia",/Restaurant_Review-g28970-d3661966-Reviews-Woodward_Table-Washington_DC_District_of_Columbia.html,2.0,248,"Washington, DC",Jose A,38.8949549,-77.0366456,38.8949549,-77.03664559999999,1.3688331711774772e-12,True,201.0
4.0,Best burger in DC,"Been here twice with friends. Food is excellent. Service is prompt. A little on the classy side but I do my best to bring it down some.
I highly recommend the burger - has all sorts of meats and a fried egg. Simply delicious. I've eaten the whole thing every time.
I also recommend the seafood platter. You can never...


More",Woodward Table,27,8,"August 27, 2015","Silver Spring, Maryland",/Restaurant_Review-g28970-d3661966-Reviews-Woodward_Table-Washington_DC_District_of_Columbia.html,5.0,248,"Washington, DC",deadhead_attorney,38.8949549,-77.0366456,38.9906657,-77.026088,6.626692030412591,True,326.0
