restaurant_overall_rating,user_review_title,user_review,restaurant_name,user_num_reviews,user_helpful_reviews,user_review_date,user_location,restaurant_url,user_rating,restaurant_num_reviews,restaurant_location,user_name
4.0,Second time there and there will be a third,"Good Italian food. Not mom's, but good for a restaurant. We had veal chop, tortellini, and veal part. All very good. Violinist didn't disappoint. :)",Ristorante Piccolo,14,5,"October 13, 2015","Oranjestad, Aruba",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,4.0,232,"Washington, DC",Matt S
4.0,Busy Place - Great Dinner,Dinner for two on a Saturday night. The place was packed. No wonder - the food and service were terrific. I certainly recommend dinner here and most certainly recommend making a reservation. Buon appetito.,Ristorante Piccolo,95,47,"October 11, 2015","Vancouver, Canada",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,4.0,232,"Washington, DC",Ridelikeyoustoleit
4.0,Relaxed and enjoyable meal,"Quiet the night we ate here so we had a table on the balcony. The waiters were attentive and friendly and the food fantastic. The meal size was exactly right, being Aussies, we often find that the meal sizes in the US are huge, these were perfect for us. The cost was very reasonable for dinner and drinks.",Ristorante Piccolo,7,2,"October 5, 2015","Melbourne, Australia",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,4.0,232,"Washington, DC",Fiona2804
4.0,Little Italian gem,"We found this restaurant by chance.
The food was so good that we could have been in Tuscany.
The three of us shared our starters as well as the mains.
All were superb -no food envy-
Do try the award winning porcini ravioli
The waitress, a Cher look a like was one of the best.
If there are two of...


More",Ristorante Piccolo,13,1,"September 29, 2015","Cape Town, Western Cape, South Africa",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,5.0,232,"Washington, DC",Sally C
4.0,"Not so good food, but nice atmosphere!!","I went there the first night i was in Dc, the atmosphere was really pleasant and the staff friendly but the food was not that tasty and the portions were very small for the price!! I can't say is a really authentic italian restaurant!!",Ristorante Piccolo,5,0,"August 31, 2015","Athens, Greece",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,3.0,232,"Washington, DC",anastasia p
4.0,so so,un impressed. average food. little enthusiasm. might try another time. The staff seemed to be more interested in the soccer game than paying attention to us. we waited almost 15 minutes for our drinks.,Ristorante Piccolo,3,0,"August 31, 2015","Canton of Geneva, Switzerland",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,2.0,232,"Washington, DC",Alexander R
4.0,Overpriced,Good food and atmosphere but seriously overpriced. $23 for a small plate of pasta. The claim to be home made pasta I doubt ..at least for the penne. A good rating to the excellent early gentleman on the violin but there are far better restaurants in Georgetown,Ristorante Piccolo,23,17,"August 22, 2015",London,/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,3.0,232,"Washington, DC",NRH_LON
4.0,They ration your bread consumption - what?,"First off, the food was excellent. No complaints. But they literally dole out the bread piece by piece. Once piece to each guest before dinner. We ordered mussels and had to ask for more - come on - dipping in that liquid nirvana is what you are supposed to do! I ordered the cioppino and again had to beg for...


More",Ristorante Piccolo,58,27,"August 19, 2015","Boston, Massachusetts",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,4.0,232,"Washington, DC",39donna
4.0,Great Italian in Georgetown,Great Italian place in Georgetown. Very unique tables on the balcony if you request one. We have had several meals here and the food is always great. Very good wine selection and service is always on point.,Ristorante Piccolo,20,3,"August 13, 2015","Washington DC, District of Columbia",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,5.0,232,"Washington, DC",JD J J
4.0,"Charming, reasonably priced Italian food","I came upon Ristorante Piccolo after walking out of another Georgetown restaurant whose staff left me sitting (solo) for over 10 minutes with nary a greeting, drink order or water.
The first thing that attracted me was the charming little balcony seating area although it was too warm an evening for me to request it. Instead I went inside to...


More",Ristorante Piccolo,13,5,"August 13, 2015","Davidson, nc",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,5.0,232,"Washington, DC",kimrectenwald
4.0,Poor service and not so fresh fish,"Ate there last Saturday night with my two daughters
The place was packed. We ordered appetisers (soup) and main courses. After a very long wait the main courses arrived. We asked to have our starters first! Then another waiter tried to give us back the main courses. We asked again for our soup. Eventually the soup arrived - not hot...


More",Ristorante Piccolo,18,12,"August 11, 2015",London,/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,1.0,232,"Washington, DC",skiloverLondon
4.0,Fabulous Italian Food!,"We had a wonderful night with wonderful food! From the mixed drinks to dessert, everything was brilliant! The mussels and stuffed mushrooms were both delightful as appetizers, and the chef delivered on chicken parmigiana, linguini with clams and seafood scampi. We finished with cheesecake and cappuccino for a lovely night on the town! Service was excellent!",Ristorante Piccolo,25,5,"August 8, 2015","Contoocook, New Hampshire",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,5.0,232,"Washington, DC",Montana11173
4.0,Excellent Lunch Menu with Very Reasonable Prices,"A quiet engaging restaurant. Good ambience. A special lunch menu is offered with choices of two items from a rather extensive menu. The olive oil offered with the bread is amongst the best I have ever had; period. We had the house salads with a mild vinaigrette dressing. My friend had a vegetarian pasta dish. I had a Penne dish...


More",Ristorante Piccolo,60,36,"August 5, 2015","Charleston, South Carolina",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,4.0,232,"Washington, DC",Andy J
4.0,Lunch,"After doing some sight seeing in DC we made our way to Georgetown for lunch. We happened to walk in front of Ristorante Piccolo and got a peek at the menu- everything looked delicious, so we decided to give it a try. Glad we did! The restaurant itself was adorable, the wait staff was attentive, and the food was amazing....


More",Ristorante Piccolo,16,1,"August 3, 2015",Cincinnati,/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,5.0,232,"Washington, DC",Kristin D
4.0,It was ok but not great!,"This place is really pretty and its very attractive from the outside. Service was good. All the staff appeared helpful and nice. I was not impressed with the food tough. I was expecting more from this ""true"" Italian restaurant. The food was ok. There seem to be lots of Italian restaurants in the same street so maybe another one is...


More",Ristorante Piccolo,30,16,"July 31, 2015",Mississauga,/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,3.0,232,"Washington, DC",SunMississauga
4.0,Best date of my life,Delicious food. Top notch service. Even a guy selling roses. Incredibly romantic. Ask for a table by the window!,Ristorante Piccolo,19,3,"July 30, 2015","Quincy, Massachusetts, United States",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,5.0,232,"Washington, DC",Barbara H
4.0,Motto Bene,Authentic Italian food. The Pasta with the Forest Mushrooms and the Fennel Salad were both amazing. This will be a go to for me whenever I'm in Georgetown.,Ristorante Piccolo,4,1,"July 26, 2015","Pompano Beach, Florida",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,5.0,232,"Washington, DC",Bjming50
4.0,"COZY, QUAINT, AND SOMETIMES SPECTACULAR","Piccolo is a family owned and run two story Italian restaurant in a quaint townhouse on a side street (31st) just off Wisconsin Avenue in Georgetown. While it has never disappointed, it does not always shine. My biggest issue is it tends to be priced to perfection, yet it only occasionally delivers perfection. Lessen the blow with a Living Social...


More",Ristorante Piccolo,69,21,"July 21, 2015","Washington DC, District of Columbia",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,4.0,232,"Washington, DC",Travelavel
4.0,Lovely food,"We found this restaurant as we were strolling through Georgetown. We were greeted at the door and were welcomed even though we have no reservation. The owners recommendations were spot on and we found the staff to be very helpful. The owner was also a wealth of knowledge about places to visit durning out stay. Good food and good staff...


More",Ristorante Piccolo,26,14,"July 9, 2015","Horsham, England, United Kingdom",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,5.0,232,"Washington, DC",Carolyn S
4.0,Good food; nothing special.,"There are so many restaurants in DC from which to choose. This was chosen based upon proximity to my hotel. The food was very good; well presented; tasty. I just didn't get a ""special"" vibe from the establishment. I ordered one of the daily specials: diver scallops with gremolata served over angel hair. The a la carte salad I chose...


More",Ristorante Piccolo,127,90,"July 8, 2015","Cleveland, Ohio",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,3.0,232,"Washington, DC",liket2travel
4.0,Great little place,"Tucked away on a side street. We were greeted at the door and had a reservation so they were expecting us and we were greeted by name. Seated right away. I had a steak which was average. Diner partner had some kind of seafood ravioli and said it was delicious. We had the cheese bread which was outstanding. Tables a...


More",Ristorante Piccolo,24,3,"June 30, 2015","Baton Rouge, Louisiana",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,4.0,232,"Washington, DC",Reneep30
4.0,Great dinner,What a wonderful quaint area to enjoy some delicious food and drink! The seafood dish I ordered was delectable! Friends ordered steak dinners which they said were wonderful. The presentation of all the dishes was amazing. This place had great ambience. The service was awesome! I'd love to go back to sample other dishes. Definitely worth the visit.,Ristorante Piccolo,15,3,"June 2, 2015",,/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,5.0,232,"Washington, DC",StLouisSpeaks
4.0,Terrible,"Arrived for dinner @ 7.15, restaurant was almost empty and air conditioning was on full blast - it was freezing. Tried two different tables to find somewhere that didn't feel like the Arctic and after complaining to staff that were totally uninterested we walked out. Ridiculous. It wasn't as if it was even warm out it was raining and thunderstorms....


More",Ristorante Piccolo,1,0,"June 1, 2015",,/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,1.0,232,"Washington, DC",Howsue1234
4.0,"Amazing food, terrible service","We found this restaurant on TripAdvisor.
FOOD: We were a group of 4 and shared five appetizers which were delicious. The main meals were also quite delicious and well-presented.
SERVICE: The only downfall to this restaurant is the terrible service we had. Poor greeting... just ""Do you have a reservation?"", no ""Good evening"" or ""Buona sera""... and no smiles The...


More",Ristorante Piccolo,23,21,"May 21, 2015","Montreal, Canada",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,3.0,232,"Washington, DC",Montrealer061
4.0,"Great food and drinks, poor service and lack luster appearance","The food was great, some of the best northern Italian food I've had in DC, but from the start the service was very poor. I put a reservation in through Open Table for my fiancé's birthday and specifically asked for a romantic table and to have wine on the table when we got there, neither happened. When we arrived we...


More",Ristorante Piccolo,36,12,"May 16, 2015","Washington DC, District of Columbia",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,2.0,232,"Washington, DC",Roger B
4.0,Pretty restaurant,"I like this restaurant. It's a pretty one in Georgetown with Italian style. The food was very good and the staff was very nice. I like the sauce of this restaurant. If you go to Georgetown, you should try this restaurant.",Ristorante Piccolo,16,3,"May 11, 2015","Detroit, Michigan",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,5.0,232,"Washington, DC",Trang B
4.0,Balcony dining on a beautiful evening,"Thoroughly enjoyed the appetizer, it was outstanding. Dinner was a 9 out of 10 and service was friendly and attentive. Reasonable prices and good wine pours for those drinking by the glass. Would recommend due to reasonable prices.",Ristorante Piccolo,11,3,"May 10, 2015",Kansas City,/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,5.0,232,"Washington, DC",PerryCrume
4.0,"Just ok, nice atmosphere","My daughter and I were able to walk in and be seated at 5:30pm on a Sunday after walking around Georgetown. We sat outside on the balcony which was nice since it was a beautiful day. We ordered the pappa al pomodoro soup which unfortunately tasted like a bowl of marinara sauce. We ended up using it as a dip...


More",Ristorante Piccolo,12,3,"May 4, 2015","Washington, DC, United States",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,3.0,232,"Washington, DC",Jasmine C
4.0,Overrated - average food and service.,"The best first, their Violinist is entertaining. Once he knew we were Germans, we had a long chat. Bus as we were there for our dinner, let's go to the details.
We had various starters, calamari, fungi/mushroom based bruschetta, celery salad and grilled eggplant. On the main side various pastas and another salad, including the homemade ravioli signature dish.
Well,...


More",Ristorante Piccolo,173,63,"April 21, 2015","New York City, New York",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,3.0,232,"Washington, DC",Markus_Ldn
4.0,A delightful Italian meal,"This small Italian ristorante is charming and has wonderful atmosphere and an entertaining violinist. The service is wonderful and the waiters are very attentive. The food is all freshly prepared and authentically Italian. A lovely evening, relaxing, delicious and enjoyable.",Ristorante Piccolo,23,6,"April 20, 2015","Fairmont, West Virginia",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,4.0,232,"Washington, DC",Karen C
4.0,"Balcony dining, tasty appetizers, disgusting bathrooms","The balcony above the busy street below in Georgetown is a lovely place for a nice glass of wine in the late afternoon. White tablecloths adorn the small tables for two. Chairs are not very sturdy or comfortable on the balcony and the space is narrow, but the view of the Italian dining strip below on 31st Street adds to...


More",Ristorante Piccolo,167,105,"April 18, 2015","Washington, DC",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,3.0,232,"Washington, DC",ViewsAndReviews
4.0,Home Run out of the ballpark!,"We had a business dinner here. Two of us selected the veal piccata, one chicken piccata, one chicken Parmesan. All of us had the house salad. The veal was tender and sauce outstanding, the chicken dishes were also outstanding. Also, the gnocchi appetizer was the best ever and not tough or starchy. We will definitely return. A great business dinner...


More",Ristorante Piccolo,311,71,"April 15, 2015","Richmond, Virginia",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,5.0,232,"Washington, DC",Lois6848
4.0,Cherry Blossom wknd,"Award winning ravioli with mushrooms was very good as was eggplant appetizer. Portions are not big. There should be an after dinner drink list with prices, same for dessert. Biggest drawback was the noise level. The roaming violinist did not help the situation. I can't imagine why this restaurant would be considered romantic. We ere with a couple and had...


More",Ristorante Piccolo,69,33,"April 12, 2015","Westwood, New Jersey",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,4.0,232,"Washington, DC",CindyLW137
4.0,Italian YUM!,"Piccolo - is a great place to have dinner in Georgetown - business or pleasure - it's smallish and cozy - is and feels authentically old school. It must get crowded and crazy - but not on the two nights I've been there.
You can tell that the people who go there and the people who work there - just...


More",Ristorante Piccolo,20,4,"March 27, 2015","Springfield, Virginia",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,5.0,232,"Washington, DC",helen s
4.0,Fantastic dinner,"What a charming restaurant! It was bustling but not too loud on the evening we dined. Very attentive staff. Our family of 4 enjoyed our selections with lobster risotto, gnocchi, chicken parm, and tortellini carbonara. We also enjoyed the tiramisu, coffee and wine.
There is a small balcony which would make for a lovely dinner in nicer weather. We look...


More",Ristorante Piccolo,73,70,"March 22, 2015","Columbus, Ohio",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,4.0,232,"Washington, DC",cbj401
4.0,Italian food at it's best.,"Little quaint looking restaurant from the outside, but once inside it is larger than expected. Delicious food, great wine list, perfect for a romantic dinner. We loved, will go back.",Ristorante Piccolo,10,3,"March 17, 2015","Washington DC, District of Columbia",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,5.0,232,"Washington, DC",caoday
4.0,great lunch stop,authentic italian- pre fixe lunch menu $13 a bargain. ordered the tomato soup and the panini--both excellent. bread true hard crust italian. quaint setting. good location in heart of georgetown.,Ristorante Piccolo,245,108,"March 3, 2015",raleigh,/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,5.0,232,"Washington, DC",redwing1
4.0,Good Italian food at affordable prices,During our eveningstroll in Georgetown we found this Italian restaurant. With the tables at the small balcony it was just perfect for our small celebration and we enjoyed the food and the wine. It didn't fell truly geniune but the food was good and we had a very nice evening here!,Ristorante Piccolo,164,73,"February 1, 2015","Malmo, Sweden",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,3.0,232,"Washington, DC",Patrik D
4.0,"Extraordinary service, incredible meal and beautiful atmosphere.",You made us feel like family and we cannot wait to join you again for dinner. Thank you for a night to remember as we celebrated my husband's birthday. We feel blessed to have found such a gem to enjoy every time we visit DC.,Ristorante Piccolo,10,2,"January 22, 2015","Beaufort, South Carolina, United States",/Restaurant_Review-g28970-d481179-Reviews-Ristorante_Piccolo-Washington_DC_District_of_Columbia.html,5.0,232,"Washington, DC",Christy W
