restaurant_overall_rating,user_review_title,user_review,restaurant_name,user_num_reviews,user_helpful_reviews,user_review_date,user_location,restaurant_url,user_rating,restaurant_num_reviews,restaurant_location,user_name,restaurant_latitude,restaurant_longitude,user_latitude,user_longitude,user_restaurant_distance,user_is_local,user_review_length
4.5,Great little dive bar.....),"Love the customers, the bartenders, the well worn (circa 1930's) decor. Cold beer, strong drinks, friendly atmosphere....love it!",The Raven,12,0,"July 25, 2015","Amsterdam, The Netherlands",/Restaurant_Review-g28970-d1238206-Reviews-The_Raven-Washington_DC_District_of_Columbia.html,5.0,6,"Washington, DC",EverybodyisaCritic,38.8949549,-77.0366456,52.374436,4.897995603,3856.4330593234295,False,129.0
4.5,Best dive in town,"Solid jukebox, great dive, great people, cheap drinks. No food, but you can order delivery from somewhere else and eat there.",The Raven,27,14,"July 14, 2014","New York City, New York",/Restaurant_Review-g28970-d1238206-Reviews-The_Raven-Washington_DC_District_of_Columbia.html,5.0,6,"Washington, DC",Redzuny,38.8949549,-77.0366456,40.730599100000006,-73.9865812,205.8262086077873,False,125.0
4.5,Great Dive Bar,I have been here a couple of times when visiting Washington DC and enjoyed it. You could easily walk past it if your wont paying attention. The drinks are always good and the atmosphere is great. I would recommend checking it out if you are in the area.,The Raven,21,1,"August 17, 2013","Atlanta, Georgia",/Restaurant_Review-g28970-d1238206-Reviews-The_Raven-Washington_DC_District_of_Columbia.html,4.0,6,"Washington, DC",Steven W,38.8949549,-77.0366456,33.749098700000005,-84.39018490000002,542.0876431866226,False,253.0
4.5,Best Dive Bar in Mt. Pleasant,"The Raven used to be the best dive bar in DC (it always made me feel like I was hanging out in Baltimore, big surprise, I guess), but now it's one of a pretty solid handful. That said, it's the best dive in Mt. P and beloved by locals. Cheap drinks, good jukebox, appropriately dark and just enough of the...


More",The Raven,24,8,"May 24, 2013","Washington, District of Columbia",/Restaurant_Review-g28970-d1238206-Reviews-The_Raven-Washington_DC_District_of_Columbia.html,5.0,6,"Washington, DC",JeansFriday,38.8949549,-77.0366456,38.8949549,-77.03664559999999,1.3688331711774772e-12,True,315.0
4.5,Quaint.,"I like this place because even though it's small it's never been crowded for me. The people who work there are very laid back and everyone has always been pretty nice there. It's nothing fancy though, it IS pretty small and it's dark too but as far as a local place to go to unwind, this place is pretty good.",The Raven,118,37,"August 2, 2012",Virginia,/Restaurant_Review-g28970-d1238206-Reviews-The_Raven-Washington_DC_District_of_Columbia.html,3.0,6,"Washington, DC",zellywelly,38.8949549,-77.0366456,37.1232245,-78.4927721,145.75460982304784,False,309.0
4.0,Great fast food with flair,"Recently went for the first time and found this place to be delightful. The food is made to order and they had some great menu items to choose from. Given the cost, I thought it was a bargain. The crepes are super thin & crispy, the favors were great. It's not fancy, and there is no real table service. But...


More",Crepeaway,14,2,"August 11, 2015","Suffield, Connecticut",/Restaurant_Review-g28970-d729922-Reviews-Crepeaway-Washington_DC_District_of_Columbia.html,4.0,29,"Washington, DC",ML0101,38.8949549,-77.0366456,41.9817631,-72.65064620000003,314.2917029806412,False,317.0
4.0,Vacation,"We love crepes and don't have any place like this where we live in Florida! Great atmosphere, great crepes! Everyone was happy!",Crepeaway,7,0,"August 1, 2015",,/Restaurant_Review-g28970-d729922-Reviews-Crepeaway-Washington_DC_District_of_Columbia.html,5.0,29,"Washington, DC",Char S,38.8949549,-77.0366456,,,,,127.0
4.0,Delicious!!,Seriously one of the best crepes I've ever had. The place itself is so charming and the service is friendly and respectful. Get the Obama crepe!,Crepeaway,3,0,"July 11, 2015","Wheaton, Illinois",/Restaurant_Review-g28970-d729922-Reviews-Crepeaway-Washington_DC_District_of_Columbia.html,5.0,29,"Washington, DC",lauragtrow,38.8949549,-77.0366456,41.8646959,-88.1101709,618.6372605966529,False,144.0
4.0,Horrible Customer Service,"So I've been ordering from Crepeaway and going into the store for a few years now. I'm a GWU student and nothing beats delivery crepes when you're having a study sess! I really hate to give them 1 star, because the crepes are pretty good (especially for delivery!) and I've never had a problem with their employees in the past;...


More",Crepeaway,1,1,"December 14, 2014","Washington, District of Columbia, United States",/Restaurant_Review-g28970-d729922-Reviews-Crepeaway-Washington_DC_District_of_Columbia.html,1.0,29,"Washington, DC",Danielle B,38.8949549,-77.0366456,38.8949549,-77.03664559999999,1.3688331711774772e-12,True,337.0
4.0,Awesome,Delicious! ! If you are on DC this is a must and they are open till 4am ..my wife has never had one she had the obama!. Mouth watering.,Crepeaway,6,1,"November 1, 2014",,/Restaurant_Review-g28970-d729922-Reviews-Crepeaway-Washington_DC_District_of_Columbia.html,5.0,29,"Washington, DC",Anthony M,38.8949549,-77.0366456,,,,,135.0
4.0,Addicting,"My sister-in-law took me here and now I am a regular myself. I have only gotten the sweet crepes which are to die for! My favorite is the Carlyn; marshmallows, crushed oreo cookies, and nutella. Once all melted together and wrapped in the crepe it is heaven. A go to place in DC.",Crepeaway,45,19,"October 13, 2014","Alexandria, Virginia",/Restaurant_Review-g28970-d729922-Reviews-Crepeaway-Washington_DC_District_of_Columbia.html,4.0,29,"Washington, DC",Elaine M,38.8949549,-77.0366456,38.8051095,-77.0470229,6.222766826830365,True,279.0
4.0,Not French but good!,"Was wanting to order a Grand Marnier Crepe and saw the sign for this restaurant. The menu is basic crepes sweet and savoury hot crepes. I tried the South Beach crepe at $7.75 which was good. The service is quick and there are tables to eat in. No knives or forks were available so you do have to eat with...


More",Crepeaway,275,112,"September 20, 2014","Radford, Virginia",/Restaurant_Review-g28970-d729922-Reviews-Crepeaway-Washington_DC_District_of_Columbia.html,3.0,29,"Washington, DC",MartinR4961,38.8949549,-77.0366456,37.1317924,-80.5764477,228.21916104868086,False,314.0
4.0,Fun and different meal in D.C.,"So, I took my kids and visited Crepeaway because they had kindly donated some gift cards for a fundraiser. When I told my kids where I was going they wanted to go with so we made an outing of it. The kids loved having dinner there. My son had the crepe equivalent of a grilled cheese and my daughter had...


More",Crepeaway,58,35,"September 10, 2014","Arlington, Virginia",/Restaurant_Review-g28970-d729922-Reviews-Crepeaway-Washington_DC_District_of_Columbia.html,3.0,29,"Washington, DC",amyegm,38.8949549,-77.0366456,38.8903961,-77.0841585,2.580575353203579,True,313.0
4.0,Great take-out crepes!,"This place has a number of advantages. First, for you protein freaks, breakfast ham-and-egg crepes are available all day. Second, the seating is remarkably clean and tidy, although the music might be too much for older guests. (So, you can do what we did: take-out.) Third, there are dessert crepes as well as ""main course"" crepes.
RE dessert, the Nutella-and-bananas...


More",Crepeaway,186,171,"August 9, 2014","Palo Alto, California",/Restaurant_Review-g28970-d729922-Reviews-Crepeaway-Washington_DC_District_of_Columbia.html,5.0,29,"Washington, DC",ScienceTrip,38.8949549,-77.0366456,37.442156,-122.1634472,2433.9517713527607,False,377.0
