user_location,user_latitude,user_longitude
"Arlington, VA",38.890396100000004,-77.0841585
"St Petersburg, FL",27.770379600000002,-82.66950849999998
"Jamaica, NY",40.6914852,-73.8056771
"San Francisco, CA",37.7792768,-122.41927040000002
"Columbus, OH",39.9622601,-83.00070649999998
"Dallas, TX",32.7762719,-96.7968558
"Annapolis, MD",38.9786401,-76.492786
"Arcadia, CA",34.136207500000005,-118.0401497
"Jacksonville, FL",30.3321838,-81.655651
"Alexandria, VA",38.8051095,-77.0470229
"San Jose, CA",37.3361905,-121.89058329999999
"Upper East Side, Manhattan, NY",40.77354310000001,-73.95873370000002
"Los Angeles, CA",34.053717,-118.24272659999998
"Washington, DC",38.8949549,-77.03664559999999
"Providence, RI",41.8239891,-71.4128343
"Alameda, CA",37.6090291,-121.899142
"Lawrenceville, GA",33.9562149,-83.9879625
Bay Area,37.7884969,-122.3558473
"Ferndale, MI",42.4605917,-83.1346478
"Fredericksburg, VA",38.30318370000001,-77.46053990000001
"Canoga Park, CA",34.2011156,-118.59814240000001
"Manhattan, NY",40.7902778,-73.9597222
"Durham, NC",35.99403289999999,-78.898619
"Staten Island, NY",40.5834557,-74.14960479999998
"San Diego, CA",32.7174209,-117.16277140000001
"Capitol Hill/Northeast, Washington, DC",38.889556299999995,-77.00942059999998
"Northridge, CA",34.2285918,-118.53693159999999
"Atlanta, GA",33.749098700000005,-84.39018490000002
"San Antonio, TX",29.424600199999997,-98.4951405
"Buffalo, NY",42.8864468,-78.8783689
"Fairfax, VA",38.8462236,-77.3063733
"Fort Lauderdale, FL",26.122308399999998,-80.14337859999998
"Pittsburgh, PA",40.4416941,-79.99008609999998
"Chicago, IL",41.8755546,-87.6244212
"Houston, TX",29.7589382,-95.36769740000001
"Potomac, MD",39.0180453,-77.2089055
"New Britain, CT",41.6803915,-72.78827729044501
"Beaufort, SC",32.431581300000005,-80.6698286
"Anacostia, Washington, DC",38.86544179999999,-76.98425309999998
"Vancouver, Canada",49.2608944,-123.11393829999999
"Long Beach, CA",33.7774658,-118.1884871
"Austin, TX",30.2711286,-97.7436995
"Highland Park, IL",25.0657658,-77.3749559871174
"Hyattsville, MD",38.95325,-76.9408522
"Brookline, MA",42.3317642,-71.1211635
"Torrey Pines, San Diego, CA",,
"Boston, MA",42.3604823,-71.0595678
"Drexel Hill, PA",39.9483182,-75.3068862515295
"Edgewater, NJ",40.827044799999996,-73.97569399999998
"Santa Clara, CA",37.35411320000001,-121.95517439999999
"Herriman, UT",40.514089399999996,-112.03281979999998
"Hicksville, NY",40.7684331,-73.5251253
"Raleigh, NC",35.7804015,-78.6390779
"Wesley Heights, Washington, DC",38.9312222,-77.08803359999997
"Redlands, CA",34.0715385,-117.12099325373899
"North Beach, MD",38.7073406,-76.53106690000001
"Allston, MA",42.3554344,-71.13212709999998
"Newark, DE",39.6852191,-75.75082890000002
"Chino, CA",34.013356099999996,-117.690075
"California, MD",38.300402899999995,-76.5074542
"Bellevue, WA",47.614421899999996,-122.1923372
"Gretna, NE",41.118703000000004,-96.25659386765301
"Princeton, NJ",40.3492744,-74.6592958
"Avon, MA",42.1306554,-71.04115820000001
"Ogontz Campus, PA",,
"Orlando, FL",28.5421175,-81.3790462
"Charlottesville, VA",38.029306,-78.4766781
"Irvine, CA",33.685696899999996,-117.82598190000002
"Walnut Creek, CA",37.9063131,-122.06496299999999
"Springfield, VA",38.78905220000001,-77.1870368
"Union, NJ",40.6652251,-74.3045277
"Cambridge, MA",42.3785931,-71.13171366355259
"Minneapolis, MN",44.9772995,-93.2654692
"Georgetown, Washington, DC",38.9051994,-77.06278499999998
"Seattle, WA",47.6038321,-122.3300624
"Bay Ridge, Brooklyn, NY",40.6339929,-74.0145841
"Crofton, MD",39.00177720000001,-76.68746709999998
"Evanston, IL",42.0447388,-87.6930459
"Bethesda, MD",38.984826500000004,-77.0946459
"London, United Kingdom",51.5073219,-0.1276474
"Prince William, VA",45.890738899999995,-67.0122574
"Indianapolis, IN",39.7683331,-86.15835009999998
"Phoenix, AZ",33.44676810000001,-112.07567240000002
"New York, NY",40.730599100000006,-73.9865812
"Tampa, FL",27.947759499999997,-82.458444
"West Palm Beach, FL",26.7153425,-80.0533746
"Miramar, FL",25.97591145,-80.33472113115221
"WEST HILLS, CA",34.2031739,-118.6454659
"Westlake, OH",41.4553232,-81.91791740000002
"Sugar Land, TX",29.6196787,-95.6349463
"Philadelphia, PA",39.952335,-75.16378900000002
"Salt Lake City, UT",40.7670126,-111.89043079999999
"Sarasota, FL",27.3364347,-82.5306527
"Rowland Heights, CA",33.976123799999996,-117.9053395
"Egg Harbor City, NJ",39.5287282,-74.6479364
"Baytown, TX",29.8064555,-94.9677202593683
"Downey, CA",33.9400143,-118.1325688
"East Elmhurst, NY",40.7612123,-73.8651358
"Woodbridge, VA",38.6581723,-77.24970490000003
"Fullerton, CA",33.870821500000005,-117.9294165
"CA, CA",36.28678397755071,-120.50745374470199
"FLUSHING, NY",40.7654301,-73.8174291
"Poway, CA",32.9628234,-117.0358646
"Glens Falls, NY",43.309695700000006,-73.64410440000002
"Dublin, PA",40.3715883,-75.2016245
"Yokohama, Japan",35.44499099999999,139.636768
"Richmond Hill, GA",31.9382652,-81.3034433
"Pasadena, CA",34.14764520000001,-118.14447790000001
"Flushing, NY",40.7654301,-73.8174291
"Hot Springs, AR",34.4310545,-93.0427202041209
"McLean, VA",38.9342888,-77.1776327
"Santa Rosa Beach, FL",30.396032399999996,-86.2288322
"Monrovia, MD",39.3720477,-77.27192790000002
"Fremont, CA",37.54826970000001,-121.98857190000001
"Reston, VA",38.9312353,-77.3570209094158
"Hayward, CA",37.6688205,-122.08079640000001
"Beverly Hills, CA",34.073620399999996,-118.40035630000001
"Stevenson Ranch, CA",34.3850234,-118.5811094
"Bristow, VA",38.7228946,-77.5361005
"Conshohocken, PA",40.0792766,-75.3015714
"Newark, NJ",40.735657,-74.1723667
"Glen Burnie, MD",39.1626298,-76.62507559999997
"Lakewood, CA",33.8503463,-118.11719140000001
"WOODLAND HILLS, CA",34.1683386,-118.60591969999999
"Anaheim, CA",33.8347516,-117.911732
"Dracut, MA",42.670368700000004,-71.3020052
"Marlboro Township, NJ",40.3365685,-74.2699966826548
"Peachtree City, GA",33.3967829,-84.59576290000003
"Charlotte, NC",35.2270869,-80.8431268
"Hillsdale, NJ",41.0025975,-74.0404175
"Doylestown, PA",40.310004,-75.130484
"Baltimore, MD",39.2908608,-76.61080729999998
"Temple Hills, MD",38.8140024,-76.9455296
"Deerfield Beach, FL",26.318341999999998,-80.0996306
"Nanuet, NY",41.088707299999996,-74.013473
"Jersey City, NJ",40.7281575,-74.0776417
"Gaithersburg, MD",39.14344060000001,-77.2013705
"Rapid City, SD",44.0811755,-103.22800600000001
"Mission Valley, San Diego, CA",32.776807399999996,-117.15209779999999
"Fairport, NY",43.0992996,-77.44301390000003
"Melbourne, Melbourne, Australia",-37.8142175,144.9631608
"Coatesville, PA",39.9831616,-75.8238355
"Costa Mesa, CA",33.6633386,-117.90331699999999
"Ellicott City, MD",39.2673284,-76.7983067
"Santa Clarita, CA",34.3916641,-118.54258600000001
"Rutherford, NJ",40.826489,-74.10680909999998
"Oklahoma City, OK",35.4729886,-97.5170536
"Orange County, CA",33.750037799999994,-117.87049309999999
"Glenside, PA",40.103196000000004,-75.1515532498208
"Emeryville, CA",37.8314089,-122.28652659999999
"Lorton, VA",38.704282,-77.22776040000002
"Toronto, Canada",43.6529206,-79.3849008
"Long Island City, NY",40.7455316,-73.9484995
"Raeford, NC",34.980999600000004,-79.22419980000002
"Clarksburg, MD",39.2387164,-77.27942879999998
"Sparks, NV",39.619144,-119.719316825311
"Montgomery Village, MD",39.1767734,-77.19525970000002
"Oak Park, IL",41.885031700000006,-87.7845025
"Hialeah, FL",25.8670435,-80.2914631205857
"Mountain View, CA",37.3855745,-122.08205
"Newport News, VA",37.016827,-76.45051959999998
"Milpitas, CA",37.4282724,-121.90662379999999
"Washington D.C., DC",38.8949549,-77.03664559999999
"Lynnwood, WA",47.8278656,-122.3053932
"Chandler, AZ",33.3067132,-111.84084890000001
"Kensington, MD",39.025671700000004,-77.0763375
"Frisco, TX",33.1506744,-96.82361159999999
"Greenbelt, MD",39.004554399999996,-76.8755282
"San Francisco Bay Area, CA",37.7884969,-122.3558473
"Newbury Park, CA",34.184172,-118.9106525
"Ballwin, MO",38.59501820000001,-90.54691329999999
"Davidson, NC",35.79023839999999,-80.2115053
"South Miami, FL",25.7078467,-80.2956355768285
"Honolulu, HI",21.304547,-157.8556764
"Mission Viejo, CA",33.5965685,-117.659405
"Beverly, MA",42.5584284,-70.8800491
"Ridgewood, NJ",40.9791864,-74.1165757
"Miami, FL",25.7742658,-80.1936589
"Columbia, MD",39.2156213,-76.85820490000002
"Chadds Ford, PA",39.8717773,-75.5913178
"Falls Church, VA",38.882334,-77.17109140000002
"Brandywine, MD",38.6967833,-76.8477485
"Logan Circle, Washington, DC",38.9120559,-77.02136540000002
"McAllen, TX",26.2043691,-98.230082
"Elon, NC",36.1029132,-79.50668950000002
"Ridgefield, CT",41.2814842,-73.4981792
"Brooklyn, NY",40.6501038,-73.9495823
"Mechanicsburg, PA",40.2101972,-77.0047276
"Silver Spring, MD",38.9906657,-77.026088
"Saint Louis, MO",38.62727329999999,-90.19788890000001
"Diamond Bar, CA",34.02862260000001,-117.81033670000001
"Columbia Heights, Washington, DC",38.925672399999996,-77.0294287
"College Park, MD",38.980666,-76.9369189
"Sterling, VA",39.001619399999996,-77.40320109999998
"Upper Marlboro, MD",38.8162654,-76.7518462
"Newton, MA",42.3370414,-71.2092214
"Henderson, NV",36.0391456,-114.98192350000001
"Lutherville-Timonium, MD",39.4395516,-76.6155483664689
"Crystal City, Arlington, VA",38.857904299999994,-77.05028979999999
"Louisville, KY",38.254237599999996,-85.759407
"Charleston, SC",32.7876012,-79.9402728
"Rockville, MD",39.0840054,-77.15275729999998
"Dayton, OH",39.758947799999994,-84.1916069
"Camarillo, CA",34.2163939,-119.0376024
"Loudoun, VA",39.0984586,-77.67050079999999
"Dewitt, VA",37.0387606,-77.64332390000001
"Calverton, MD",39.0576091,-76.93580820000003
"Euless, TX",32.8370727,-97.08195409999999
"Downtown, Los Angeles, CA",34.17903870000001,-118.3127972
"Takoma Park, MD",38.9778882,-77.0074765
"Seabrook Island, SC",32.5882385,-80.1634296
"Santa Monica, CA",34.0195598,-118.48697390000001
"Annandale, VA",38.8303098,-77.19649659999997
"Suwanee, GA",34.0514898,-84.0712997
"Portland, OR",45.5202471,-122.6741949
"Mount Rainier, MD",38.9415,-76.96497509999998
"King, WA",47.4873376,-121.8622122
"East Amherst, NY",43.0183913,-78.696697
"Las Vegas, NV",36.1662859,-115.149225
"Vienna, VA",38.9013013,-77.2651585
"Aurora, CO",39.729432,-104.8319196
"Sterling Heights, MI",42.5803122,-83.0302033
"Windermere, FL",28.4944695,-81.5345547
"Richmond, VA",37.53850870000001,-77.4342799
"Virginia Beach, VA",36.718370799999995,-76.2466798
"Burke, VA",38.7771321,-77.2754691
"Clarksville, MD",39.2065447,-76.94291820000002
