restaurant_address,restaurant_overall_rating,user_review,restaurant_name,restaurant_phone,user_num_reviews,user_review_date,user_location,restaurant_url,user_rating,restaurant_num_reviews,restaurant_location,user_name,restaurant_latitude,restaurant_longitude,user_latitude,user_longitude,user_restaurant_distance,user_is_local,user_review_length
"2744 Elm Hill PikeNashville, TN 37214",3.0,"Kristen was the only girl at the counter when we arrived. We were the only ones in line. She did not greet us. Just looked at us blankly and finally asked ""you ready?""She seemed very frustrated as we placed our order. My sister asked did ask for a cheese switch and her condiments on side but you would have thought she asked for the moon. We explained it had been a while since we lost the BYBs on our area but she never acknowledged and had we known where another was we would have left this one based on her attitude.The issue at the front aside our food arrived fast and hot and perfect! We were so happy to have been able to grab a bite here in our way out of town today! Great fast food meal to end our Nashville vaca! A little more expensive than normal fast food but I am already trying to find another one for the ride home! They would have had 5 stars if staff had been friendly!",Back Yard Burgers,6153913555.0,72.0,2015-06-17,"Warren, OH",/biz/back-yard-burgers-nashville,4.0,21,"Nashville, TN",Genny A.,36.1622296,-86.774353,41.2375569,-80.81841659999998,475.36546076426856,False,889.0
"2744 Elm Hill PikeNashville, TN 37214",3.0,"Very dirty... Greasy every thing I think the mopped the floor with grease. Gave it 2 stars because the burger was good. I would take mine to go next time I'm in town, I wonder if the kitchen is greasy?",Back Yard Burgers,6153913555.0,9.0,2015-10-04,"Delray Beach, FL",/biz/back-yard-burgers-nashville,2.0,21,"Nashville, TN",Jill B.,36.1622296,-86.774353,26.4614625,-80.07282009999999,776.5042646139419,False,201.0
"2744 Elm Hill PikeNashville, TN 37214",3.0,Good burger and delicious fries. I felt like my meal took longer to make even though the restaurant was pretty sparse. My meal seemed a bit overpriced as well. I wished that I had more fries. I'd try this place again though.,Back Yard Burgers,6153913555.0,58.0,2015-09-10,"Nashville, TN",/biz/back-yard-burgers-nashville,3.0,21,"Nashville, TN",J R.,36.1622296,-86.774353,36.1622296,-86.774353,0.0,True,224.0
"2744 Elm Hill PikeNashville, TN 37214",3.0,"Nashville has so many great, original burger joints that I don't often stop by chains when I'm feeling like a burger, but this is close to home and satisfies my meat craving when I need to stay out of the beer garden anyhow. I usually order the Black and Bleu, and was surprised and delighted to learn on my last visit that I could substitute a turkey patty for the regular beef one. It was actually pretty good. They currently have a red velvet milkshake that did look awesome, but I passed because it would have undermined my turkey patty decision. They also have waffle fries, although I found them overly greasy.They always bring my food out in a pretty timely manner, and the place is clean and well lit. I've never really seen this particular location all that crowded, but I probably stop in at off-peak times (which is probably why I never wait too long for my food).So, for a burger on a budget that's a bit fancier than your average drive through meal, definitely A-OK.",Back Yard Burgers,6153913555.0,73.0,2015-01-28,"Nashville, TN",/biz/back-yard-burgers-nashville,3.0,21,"Nashville, TN",Libby B.,36.1622296,-86.774353,36.1622296,-86.774353,0.0,True,979.0
"2744 Elm Hill PikeNashville, TN 37214",3.0,No. Just no. They take forever.,Back Yard Burgers,6153913555.0,663.0,2014-12-30,"Memphis, TN",/biz/back-yard-burgers-nashville,1.0,21,"Nashville, TN",Joelle P.,36.1622296,-86.774353,35.1490215,-90.0516285,197.17803677714622,False,31.0
"2744 Elm Hill PikeNashville, TN 37214",3.0,"Meh indeed.Stationed somewhere between a Mcd's and a smash burger BYB inhabits some sort of ambiguous middle ground of higher prices and alleged higher quality. Key word- alleged. I got my burger turned into a wrap after a local told me the buns were disgusting, the other two people in my group got buns and it turned out that was pretty good advice. Not that the wrap was anything to write home about, but it didn't fall apart while I was eating it. I also got a ""baked"" potato... I hate to go on a bit of a rant here but the word baked- it turns out that actually means baked. Like, in an oven. Putting something in a plastic bin and microwaving it does not make it baked. The potato was by far the worst potato I have ever had. I know I know- you are at a burger place, why did you get a baked potato instead of fries? I freely admit this was my own blunder and that I am less of a man for not getting fries (if that's possible). That being said it wasn't ""baked"".",Back Yard Burgers,6153913555.0,150.0,2015-01-13,"Las Vegas, NV",/biz/back-yard-burgers-nashville,2.0,21,"Nashville, TN",Scott P.,36.1622296,-86.774353,36.1662859,-115.149225,1580.6716354156904,False,968.0
"2744 Elm Hill PikeNashville, TN 37214",3.0,"I came to this place because I had a coupon to buy one get one free. It was still a little expensive with the BOGO coupon but it was good. Better than your typical fast food burger. I do not see myself going out of my way to visit this place again but it was decent food. Pretty good service, nice taste, and better than usual variety. Quality of food is not that great.",Back Yard Burgers,6153913555.0,252.0,2014-10-18,"Nashville, TN",/biz/back-yard-burgers-nashville,3.0,21,"Nashville, TN",Kevin W.,36.1622296,-86.774353,36.1622296,-86.774353,0.0,True,370.0
"2744 Elm Hill PikeNashville, TN 37214",3.0,"Got a daily coupon for this place.Very nice staff and the manager was really nice.Place was clean, service was quick.The thing is....... it reminded me of an expensive Burger King burger....It was nearly identical, but more expensive.No... I would not return.",Back Yard Burgers,6153913555.0,394.0,2014-06-07,"Nashville, TN",/biz/back-yard-burgers-nashville,3.0,21,"Nashville, TN",Queen B.,36.1622296,-86.774353,36.1622296,-86.774353,0.0,True,259.0
"2744 Elm Hill PikeNashville, TN 37214",3.0,"First visit yesterday as of 10/10/14 Empty due to the time I came in, 3:30 pm. The cashier was a nice little blonde long haired man who said to take our time as it was our first visit. I had a coupon and  he was not surprised at allas most people nowadays are not very knowledgeable about coupons. I joked about how this restaurant works and the cashier responded ""it's basically a fast food burger place but w/fine dining experience"" and we exchanged laughs! I ended up ordering the Black Jack chicken combo w/waffles fries and my little cousin ordered the Hawaiian Chicken w/sweet potato fries. The tables were dirty, so I didn't like that so much. Food was hot! Sweet potato fries are the most delicious sweet potato fries I have eaten! Because they batter them up ahaha! Overall my experience and the food I would say it's food you would somewhat order at a restaurant, the chicken sandwich was very good and much better than most places I have eaten. I will go here when I have a craving for ""fast fast but w/fine dining experience"" Ha!",Back Yard Burgers,6153913555.0,24.0,2014-10-10,"Antioch, TN",/biz/back-yard-burgers-nashville,3.0,21,"Nashville, TN",Victoria S.,36.1622296,-86.774353,35.147859000000004,-87.3214064,76.40772962902841,False,1042.0
"2744 Elm Hill PikeNashville, TN 37214",3.0,"They operate like they are new to the fast food business. I was not impressed. I had the veggie burger, which is basically a black bean burger. It was okay, but needed more seasoning. I ordered it without bacon. After all, I did order the veggie burger. Right? After double-checking my order three times, guess what? Yes, big slices of bacon imbedded in my burger! It seems that someone back there would question why a veggie burger would have bacon on it? (Helloooo! Does anybody work here?) Sometimes fast food is just too fast!The waffle fries were hot and pretty tasty, but needed salt. The lemonade? Meh! Mainly sugar-water without much flavoring.Personally, I think its a little pricey for the service and a basic burger. A little quality control is definitely needed here, folks!",Back Yard Burgers,6153913555.0,25.0,2014-07-28,"Florissant, MO",/biz/back-yard-burgers-nashville,2.0,21,"Nashville, TN",L C.,36.1622296,-86.774353,38.789217,-90.322614,266.1435330192482,False,786.0
"2744 Elm Hill PikeNashville, TN 37214",3.0,"Worst one I have been to. Got two incomplete kids meals, and the wrong shake. When I took the completely melted shake back they simply took off the lid, added the Oreo, and remixed it. Even after I told them they gave it to me melted, wrong, and I had tasted it. How many other shakes have they remixed on the same machine after people drank out of them??? Nasty!",Back Yard Burgers,6153913555.0,2.0,2014-07-31,"Centerton, AR",/biz/back-yard-burgers-nashville,1.0,21,"Nashville, TN",Kris H.,36.1622296,-86.774353,36.346325,-94.332857648136,422.185750951842,False,363.0
"2744 Elm Hill PikeNashville, TN 37214",3.0,"Here on business and staying at an airport hotel and do not have a car, so walking distance is where I eat! I found this on my walk and decided to give it a try.  Never heard of it before... From walking in the place looked clean and there were plenty of people here which told me that it must be ok.  Better than McDonalds at least... ?! However, I almost walked out after observing how the patrons ahead of me were treated by the girl working the register.  Blonde girl with the worst attitude in the history of food service.  ""I hate my JOB and my life and all things in this WORLD"" was written across her face the entire time i was in this place.  I decided to stay and ordered my food.  Told the EMO girl to have a fantastic day with the best smile I could seriously give her after watching her act like the World has screwed her over.  And well maybe it has.... Hopefully her day is better today than yesterday. Anyway, i'm off track.  The burger was great, the fries were even better!  It really is good food.  I'm glad I stuck around.  However, the price was a bit higher than I would have liked to have paid for fast food.  The menu states that my meal comes with Waffle fries, and unless i'm crazy, my yummy french fries that were just like fries from Mc Donalds didn't look like Waffle Fries--- maybe this is Tennessee's version of Waffle Fries!?!? loL!!  Oh well- they were good! Great seasoning. 3 stars- it wasn't a great customer service atmosphere but the food was good.  I prob will never eat at a Back Yard Burgers again, but only because they dont have them in Arizona.",Back Yard Burgers,6153913555.0,58.0,2012-08-07,"Goodyear, AZ",/biz/back-yard-burgers-nashville,3.0,21,"Nashville, TN",Missy K.,36.1622296,-86.774353,33.400169500000004,-112.45722340000002,1468.712595385031,False,1602.0
