restaurant_address,restaurant_overall_rating,user_review,restaurant_name,restaurant_phone,user_num_reviews,user_review_date,user_location,restaurant_url,user_rating,restaurant_num_reviews,restaurant_location,user_name
"2133 Green Hills Village DrNashville, TN 37215",3.5,"I really enjoy this restaurant when I visit Nashville.The menu is HUGE, so it might take a while to determine what you want to eat. It's an awesome meal, whatever you get. Always try something new!!! Keep in mind that if you want cheesecake, take home some of your food...as the portions are massive. The cheesecakes are to die for...but what would you expect? It is a little expensive, but if you go at lunch, they do have lunch portions for most of their dishes. You also get bread with your meal. It's a great place to take a date!! I highly recommend this restaurant.",The Cheesecake Factory,6154632400,34 reviews,2015-06-05,"Bowling Green, KY",/biz/the-cheesecake-factory-nashville,5.0,160,"Washington, DC",Brandon P.
"2133 Green Hills Village DrNashville, TN 37215",3.5,"Called ahead to place an order. Was put on hold. Arrived at the restaurant ten minutes later still on hold. Just for fun, kept the call going until at 11 minutes and 21 seconds the hostess looks down, says ""oops"" and disconnects the call. In her defense they were very busy, there must have been nearly 30 people in the restaurant with no wait and it was only two hours before closing time. Solid performance.",The Cheesecake Factory,6154632400,30 reviews,2015-10-11,"La Vergne, TN",/biz/the-cheesecake-factory-nashville,1.0,160,"Washington, DC",Batsell S.
"2133 Green Hills Village DrNashville, TN 37215",3.5,"I came to this location because it was closer to get a to-go order before work tonight. To start off the first time I called I waited on the phone for over 5 minutes before I decided to hang up and call again. Upon calling again I was on the phone for almost another 5 minutes before someone responded. Granted the lady over the phone was nice and helpful. When I arrived I informed the lady at the front desk that I had a to-go order. And she was very rude as she pointed to the counter on my right with her face scrunched up, saying its over there. When I approached the desk I told the lady my order she printed my ticket and instead of handing me a pen to sign the receipt she made me reach over someone else's bag to grab a pen. Let's just say I won't be visiting this location again since people don't believe in friendly customer service.",The Cheesecake Factory,6154632400,3 reviews,2015-10-10,"Nashville, TN",/biz/the-cheesecake-factory-nashville,1.0,160,"Washington, DC",Heather R.
"2133 Green Hills Village DrNashville, TN 37215",3.5,"My husband and I grabbed dinner here the other night about 8-8:30 PM. A week night btw. Were seated fairly quickly. Some of the service was slightly slow throughout the night...but, that's getting really nitpicky. My Chateau St. Michelle was fine, and my husband enjoyed his martini.       He had fish tacos and loved them. I ordered the sliders off of the appetizer menu, with a side of fries. Four mini burgers came. I had my choice of cheese. It was good, the fries were good. I wouldn't say great about any of it, but good. We both really enjoyed the soft, brown bread. Not so much the other one! All in all, it was a good meal and dining experience.",The Cheesecake Factory,6154632400,100 reviews,2015-07-25,"Brentwood, TN",/biz/the-cheesecake-factory-nashville,4.0,160,"Washington, DC",Stacy B.
"2133 Green Hills Village DrNashville, TN 37215",3.5,"Holy moly do we have one of these in Memphis? Because this place was AMAAAAZING! I met up with my friend and her parents here. Her parents were eating with friends so she got a nearby booth for the three of us. I had never been here before but I had just eaten lunch with my mom and grandma so I wasn't that hungry. I ordered an entree and hubby ordered hot chocolate and a dessert and we split them both.I really loved the bread they brought to the table- wheat and white loaves. I definitely preferred the wheat, as did my friend. My waitress was named Becky and she was amazing. I asked for the Spicy Chicken Chipotle Pasta with angel hair pasta instead of penne. They brought out penne and let me eat it while they corrected the mistake. I have to admit, penne was easier to eat. The meal itself is kind of soupy or wet so the angel hair pasta made it a messy meal. I will stick with penne next time! Becky let me keep both (yay!). Onto the entree itself. The flavor of the Spicy Chicken Chipotle Pasta was amazing. However, most of the pieces of chicken in it were gristle and I didn't eat them. But the rest of it was great and it made great leftovers. Hubby and I were totally going to share the leftovers but ended up devouring it ourselves the next day instead. The Dulce de Leche Hot Chocolate was so excellent my hubby only let me have a few sips before drinking it all himself. I wasn't as impressed with the Dulce de Leche Cheesecake but it was good as well. When we came a second time I was excited to see a Thai-themed dinner dish, Bang-Bang Chicken and Shrimp so I got it (with brown rice!). I definitely prefer it with chicken and it's much better fresh.  I love the flavors. I liked it better fresh though as it just didn't taste as good as leftovers. Loved:- 30th Anniversary Chocolate Cake Cheesecake- Bang-Bang Chicken and Shrimp (Chicken only)- Dulce de Leche Hot Chocolate- Oreo Shake- Spicy Chicken Chipotle Pasta (Penne) (hubby fav)- Strawberry Lemonaid- Wheatbread Ok:- Chicken Bellagio- Dulce de Leche Cheesecake- Fresh Basil, Tomato, and Cheese Flatbread - Frozen Iced Mango- Veggie Burger- Warm Apple CrispNah: - Bistro's Shrimp Pasta- Chocolate Mousse Cheesecake (Joel liked)- Chocolate Tuxedo Cream Cheesecake- Cucumber Lemonaid- Guacamole (Mild)- Strawberry Fruit Smoothie- Tomato Basil with Pasta (chicken)",The Cheesecake Factory,6154632400,422 reviews,2014-12-24,"Collierville, TN",/biz/the-cheesecake-factory-nashville,5.0,160,"Washington, DC",Samantha B.
"2133 Green Hills Village DrNashville, TN 37215",3.5,"Another chain but a good one because of the LARGE menu. We love the sampler appetizer and have ordered it more than a few times and to go. The chicken avocado egg rolls are amazing and the grilled artichokes are also very very tasty. The Tuna Tartare is very good but really not worth it unless you NEED tuna tartare. Everything we have ordered has been consistently good. Shrimp Scampi, Steak, Angela's pasta, Burrito, Salads. The only question is what cheesecake to order. We sometimes don't eat that after the meal, but one should get a slice to take home. You really have to. The parking is mall parking and valet. The lines can be long, be strategic, not always the best time to go during Christmas etc.",The Cheesecake Factory,6154632400,90 reviews,2015-07-26,"Nashville, TN",/biz/the-cheesecake-factory-nashville,4.0,160,"Washington, DC",Beth G.
"2133 Green Hills Village DrNashville, TN 37215",3.5,"This is my favorite chain and I have yet to have a bad meal from them. The menu massive and so is the portions. If you are concerned about your health, then do not go here as Cheesecake Factory is constantly on the worst things to eat lists yet it is so good! So glad we have one in Memphis now so we can save this 3 hr trip.",The Cheesecake Factory,6154632400,18 reviews,2015-09-09,"Cordova, TN",/biz/the-cheesecake-factory-nashville,5.0,160,"Washington, DC",Gina P.
"2133 Green Hills Village DrNashville, TN 37215",3.5,I've been to the green hill location in Nashville a few times before! I love that it's inside one of the best malls in Tennessee! They have excellent food here! Never encountered anything bad. Downfall for this location that it's a lot smaller than your average Cheesecake Factory. I think they should expand because  on weekends I'm sure waiting is forever!,The Cheesecake Factory,6154632400,175 reviews,2015-04-15,"Saint Louis, MO",/biz/the-cheesecake-factory-nashville,4.0,160,"Washington, DC",Kimmy N.
"2133 Green Hills Village DrNashville, TN 37215",3.5,Great food as usual. We had a Caesar salad then the factory meatloaf. Everything wS well prepared and well seasoned. Server was attentive and knowledgable. Service was efficient without being rushed. Drinks were kept full. Restaurant and bathroom were clean and this place was super crowded. Noise level moderate. Nice music in background.,The Cheesecake Factory,6154632400,205 reviews,2015-01-31,"Germantown, TN",/biz/the-cheesecake-factory-nashville,5.0,160,"Washington, DC",Emily R.
"2133 Green Hills Village DrNashville, TN 37215",3.5,"We waited less than 10 minutes to be seated which went by really fast as we stood drooling over the massive case of cheesecakes on display. You name it they have it. The menu is like 20 pages long. They have a lot of option for food, drinks, and cheesecake. It can be a bit overwhelming. All the food we had was great! Sirloin, Nachos, Crab bites, quesadilla, shepherds pie, and fettuccini. The strawberry cheesecake and the reeses peanut butter cup cheesecake were amazing as well.We all went home with left overs. It is on the pricey side but you get a lot of food. We will definitely be back!",The Cheesecake Factory,6154632400,208 reviews,2014-11-18,"Murfreesboro, TN",/biz/the-cheesecake-factory-nashville,5.0,160,"Washington, DC",Tabitha S.
